log2FoldChange,baseMean,padj,position,bin,product,gene,domain,phylum,class,order,family,genus,species
-0.527468244,52.92068464,0.001078019,NODE_2504_length_12733_cov_13.855655_pgaptmp_000984,201005_12_DNA_sed_2_bin.5,hypothetical protein,NA,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,SLSQ01,NA
-0.90731256,7.480973006,0.037562519,NODE_1530_length_16235_cov_13.684796_pgaptmp_000425,201005_12_DNA_sed_2_bin.5,Fe-S cluster assembly protein SufB,sufB,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,SLSQ01,NA
0.786016281,17.34361176,0.001078019,NODE_73_length_50877_cov_14.175770_pgaptmp_002340,201005_12_DNA_sed_2_bin.5,endonuclease MutS2,NA,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,SLSQ01,NA
-1.580393662,3.071767003,0.009083826,NODE_314_length_31552_cov_11.837381_pgaptmp_001257,201005_12_DNA_sed_2_bin.5,Crp/Fnr family transcriptional regulator,NA,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,SLSQ01,NA
-2.499972245,12.81309657,0.002260977,NODE_35965_length_2616_cov_14.639203_pgaptmp_001376,201005_12_DNA_sed_2_bin.5,chlorophyllide a reductase iron protein subunit X,NA,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,SLSQ01,NA
0.487857431,49.413782,0.012253517,NODE_652_length_32489_cov_81.044984_pgaptmp_002059,201007_15_DNA_mat_1_top_bin.34,ABC transporter substrate-binding protein,NA,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
1.030109534,13.7645887,0.005236923,NODE_1195_length_23829_cov_82.574241_pgaptmp_000157,201007_15_DNA_mat_1_top_bin.34,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,cobU,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-0.797689973,23.75315072,0.02499992,NODE_5937_length_9414_cov_74.962496_pgaptmp_001957,201007_15_DNA_mat_1_top_bin.34,zinc ABC transporter ATP-binding protein ZnuC,znuC,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-1.172701253,93.60941606,1.79E-11,NODE_360_length_43358_cov_74.219731_pgaptmp_001530,201007_15_DNA_mat_1_top_bin.34,FAD-dependent oxidoreductase,NA,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-1.044167558,5.271313564,0.016973601,NODE_3564_length_13193_cov_77.236718_pgaptmp_001513,201007_15_DNA_mat_1_top_bin.34,DUF4212 domain-containing protein,NA,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
0.51634181,12.48723572,0.018495325,NODE_600_length_33965_cov_77.148393_pgaptmp_001968,201007_15_DNA_mat_1_top_bin.34,glutamine-hydrolyzing GMP synthase,guaA,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
