"","gene_id","moduleColor","GS.light","p.GS.light"
"NC_007677.1_WP_011404841.1","NC_007677.1_WP_011404841.1","blue",0.327277008215249,0.215958959600862
"NC_007677.1_WP_011405166.1","NC_007677.1_WP_011405166.1","turquoise",-0.772216252865594,0.000455771583617385
"NC_007677.1_WP_237701679.1","NC_007677.1_WP_237701679.1","turquoise",-0.759067956281776,0.000649865301421954
"NC_007677.1_WP_081580696.1","NC_007677.1_WP_081580696.1","turquoise",-0.780289523595909,0.000362363953161991
"NC_007677.1_WP_011404683.1","NC_007677.1_WP_011404683.1","blue",0.610224728239502,0.0120619769982471
"NC_007677.1_WP_237702038.1","NC_007677.1_WP_237702038.1","turquoise",-0.936253880378858,9.68042857817896e-08
"NC_007677.1_WP_164923542.1","NC_007677.1_WP_164923542.1","blue",0.518534404533176,0.03960283521533
"NC_007677.1_WP_272481480.1","NC_007677.1_WP_272481480.1","pink",-0.554043039128409,0.0259545738172724
"NC_007677.1_WP_112902941.1","NC_007677.1_WP_112902941.1","red",-0.0696070019297234,0.797833081202781
"NC_007677.1_WP_011404819.1","NC_007677.1_WP_011404819.1","yellow",-0.059380935268521,0.827080054373832
"NC_007677.1_WP_237701932.1","NC_007677.1_WP_237701932.1","greenyellow",-0.28634618210585,0.282288514854088
"NC_007677.1_WP_011404227.1","NC_007677.1_WP_011404227.1","turquoise",-0.805364436293743,0.000166685532396755
"NC_007677.1_WP_011404501.1","NC_007677.1_WP_011404501.1","blue",0.298804273428127,0.260932457268603
"NC_007677.1_WP_011402867.1","NC_007677.1_WP_011402867.1","red",-0.522813559278504,0.037720786267886
"NC_007677.1_WP_164923531.1","NC_007677.1_WP_164923531.1","grey",-0.246018217558054,0.35836983949388
"NC_007677.1_WP_011403641.1","NC_007677.1_WP_011403641.1","yellow",-0.125588768407901,0.643043609620896
"NC_007677.1_WP_013062282.1","NC_007677.1_WP_013062282.1","green",0.376718583044024,0.150357607527972
"NC_007677.1_WP_112904139.1","NC_007677.1_WP_112904139.1","pink",-0.546337139133445,0.0285524854907677
"NC_007677.1_WP_237701706.1","NC_007677.1_WP_237701706.1","grey",-0.319459120327478,0.227777018521575
"NC_007677.1_WP_112904305.1","NC_007677.1_WP_112904305.1","brown",0.443034547613247,0.085675838263428
"NC_007677.1_WP_011404272.1","NC_007677.1_WP_011404272.1","turquoise",-0.692773053190583,0.00293088990915921
"NC_007677.1_WP_231847132.1","NC_007677.1_WP_231847132.1","brown",0.81436360704373,0.000122767646524773
