baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,product,gene,EC_number
8050.609594551784,0.32225142943444224,0.1348257699530133,5.700894538936495,0.0169562688799729,0.04055294604009634,NC_007677.1_WP_011404841.1,hypothetical protein,NA,NA
130664.26731929557,-0.5869550267068947,0.143279446400404,16.667566822641334,4.453595185982976e-5,2.8004810406774306e-4,NC_007677.1_WP_011405166.1,cold shock domain-containing protein,NA,NA
563.1119685311595,-0.3767954921649995,0.10436058444370633,13.003955439307447,3.1083368744642693e-4,0.0014551330983296454,NC_007677.1_WP_237701679.1,DUF4147 domain-containing protein,NA,NA
61077.30515469557,-1.2304145021437498,0.15917032939350592,58.03091661096744,2.5803046994231257e-14,1.2352168303044898e-12,NC_007677.1_WP_081580696.1,acyl-CoA dehydrogenase family protein,NA,NA
7166.6450544407935,0.29647412116396615,0.07971294427508364,13.81138531160309,0.00020210777702961555,0.0010195083032391117,NC_007677.1_WP_011404683.1,GH3 auxin-responsive promoter family protein,NA,NA
748.7723980446067,-0.38536385156107966,0.06841021789233893,31.72801686830155,1.7734529321484746e-8,2.9080708854235765e-7,NC_007677.1_WP_237702038.1,lamin tail domain-containing protein,NA,NA
10314.53274379592,0.15135288926035553,0.055360244662425236,7.471651925578044,0.006267801444629715,0.018220210271950043,NC_007677.1_WP_164923542.1,acetyl-CoA carboxylase biotin carboxylase subunit,accC,6.3.4.14
142032.89083327283,-0.6355922248021447,0.09975039008367355,40.276829051291486,2.2040763061936705e-10,5.543812268460012e-9,NC_007677.1_WP_011404227.1,aconitate hydratase,NA,4.2.1.3
105409.68175152733,0.3887850765760174,0.11457922229343465,11.478904050392657,7.039062624446667e-4,0.00294069807234804,NC_007677.1_WP_011404501.1,DNA-directed RNA polymerase subunit beta',rpoC,2.7.7.6
2571.819990817487,0.3385088042849307,0.11099426981209824,9.280964141622064,0.002315475204885318,0.007899230354137499,NC_007677.1_WP_013062282.1,cysteine desulfurase family protein,NA,NA
131339.24736893308,0.23453005501213578,0.06911150810918898,11.503289799464369,6.947312080153394e-4,0.002908268300972535,NC_007677.1_WP_231847132.1,RagB/SusD family nutrient uptake outer membrane protein,NA,NA
7540.600659265254,0.7814219401017796,0.2955044765417946,6.909287024756509,0.008574917679515856,0.023284863378593836,NC_007677.1_WP_011404217.1,carbohydrate ABC transporter permease,NA,NA
613.8648481202968,0.2399358262489816,0.09528535790873585,6.336953610058487,0.011824779936256352,0.030386101169531478,NC_007677.1_WP_237701776.1,hypothetical protein,NA,NA
11219.188193077745,-0.4951574334305355,0.08301303469732357,35.413443452119054,2.6664013893129744e-9,5.420465290055417e-8,NC_007677.1_WP_011404485.1,ferrochelatase,hemH,4.98.1.1
319.1041669386055,0.4471197175148226,0.10589489605789149,17.82520962354596,2.4215357504145775e-5,1.6560179970577112e-4,NC_007677.1_WP_011404758.1,cation transporter,NA,NA
5559.989217781145,-0.1857939402091173,0.06697848026408801,7.689217986971215,0.005555169304704268,0.016569657124402237,NC_007677.1_WP_118828824.1,PD40 domain-containing protein,NA,NA
30447.44740746502,-0.5656910665248945,0.13578813461178438,17.24611010294217,3.2836915015412176e-5,2.1754456197710566e-4,NC_007677.1_WP_011403893.1,adenosylhomocysteinase,NA,3.13.2.1
1201.1886390647855,-0.3520984577012391,0.09886462834470483,12.655379087624567,3.744866542526215e-4,0.0017125984434850242,NC_007677.1_WP_103017578.1,gluconate 2-dehydrogenase subunit 3 family protein,NA,NA
4267.572140874934,-0.2273365421371044,0.07266386217068456,9.780529296482769,0.0017636953605464206,0.006322038442151904,NC_007677.1_WP_164923532.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,rsmB,2.1.1.176
24603.491697541132,0.6165570063279315,0.19806477695818053,9.617618133107328,0.0019271951985111407,0.006785190212551679,NC_007677.1_WP_118825819.1,30S ribosomal protein S2,rpsB,NA
53440.998750442806,-0.4543963126508193,0.11843380087097814,14.66030626505767,1.287288294077874e-4,6.934068342691705e-4,NC_007677.1_WP_011403927.1,multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit,NA,4.1.1.71
12043.734571220031,0.7190072807465351,0.16999169208560652,17.709726523332222,2.573075565278886e-5,1.750284187939615e-4,NC_007677.1_WP_011404504.1,50S ribosomal protein L10,rplJ,NA
3240.6827323780853,0.3909161306379583,0.10716960601480703,13.269758933262807,2.697218870257112e-4,0.001293270695787255,NC_007677.1_WP_164923499.1,efflux RND transporter permease subunit,NA,NA
4805.893466290223,-0.21194095024041823,0.07722964975351779,7.524398716744599,0.006086886783381756,0.017802805648665737,NC_007677.1_WP_011403276.1,DNA polymerase III subunit delta,holA,2.7.7.7
11913.668842040302,0.42460407486732243,0.15203929721070447,7.771697816025949,0.005307114361500408,0.016007637626964645,NC_007677.1_WP_013062207.1,50S ribosomal protein L11,rplK,NA
4854.97949756018,-0.9577751722266922,0.3514696306850565,7.294214993144806,0.00691769887351827,0.019742048323655986,NC_007677.1_WP_164923676.1,chemotaxis protein CheA,NA,NA
32482.829317621803,-0.3717882335334658,0.06624986861238844,31.407803141906072,2.091387006413004e-8,3.284252187848569e-7,NC_007677.1_WP_011403266.1,citrate synthase,NA,NA
1075.346327468876,1.09764276679797,0.3282795718213017,10.927365555820643,9.475413814364055e-4,0.0037199772752688513,NC_007677.1_WP_011404216.1,DUF2160 family membrane protein,NA,NA
10122.93159712586,-0.47252491566898386,0.12279966207153167,14.74118787936385,1.2332256181226805e-4,6.691432604365843e-4,NC_007677.1_WP_011405096.1,hypothetical protein,NA,NA
88701.62354699621,-0.2531154194267473,0.10645169911150673,5.646491255578155,0.017490334796792052,0.04146271060453579,NC_007677.1_WP_231847099.1,TonB-dependent receptor,NA,NA
